,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Bethel,90,US,1563738877,100,60.79,-161.76,53.6,10.29
1,Atuona,100,PF,1563738877,73,-9.8,-139.03,80.43,8.81
2,Charleston,1,US,1563738766,63,32.79,-79.94,97.0,12.75
3,Georgetown,40,GY,1563738588,70,6.8,-58.16,87.8,9.17
4,Camapua,100,BR,1563738878,34,-19.53,-54.04,75.75,6.93
5,Punta Arenas,40,CL,1563738878,74,-53.16,-70.91,37.4,21.92
6,Jamestown,0,AU,1563738653,73,-33.21,138.6,46.41,11.52
7,Lompoc,1,US,1563738878,64,34.64,-120.46,80.6,9.17
8,Kapan,33,AM,1563738879,66,39.21,46.4,57.03,4.5
9,Kapaa,75,US,1563738879,74,22.08,-159.32,82.4,13.87
10,Paka,100,CF,1563738879,97,4.15,15.03,67.83,2.01
11,Esperance,90,AU,1563738880,76,-33.86,121.89,51.8,24.16
12,Binga,0,ZW,1563738880,17,-17.62,27.34,54.87,1.57
13,Cherskiy,100,RU,1563738880,92,68.75,161.3,37.05,15.46
14,Rikitea,48,PF,1563738880,67,-23.12,-134.97,68.19,13.71
15,Vardo,40,US,1563738880,59,39.62,-77.74,99.0,5.82
16,Busselton,100,AU,1563738881,73,-33.64,115.35,48.0,21.56
17,Calvinia,0,ZA,1563738881,30,-31.47,19.78,55.05,15.05
18,Hobart,75,AU,1563738612,70,-42.88,147.33,52.0,11.41
19,Carnarvon,0,ZA,1563738881,32,-30.97,22.13,46.23,13.11
20,Longyearbyen,75,NO,1563738882,75,78.22,15.63,46.4,17.22
21,Sitka,80,US,1563738882,47,37.17,-99.65,91.99,1.01
22,Pontes e Lacerda,100,BR,1563738882,33,-15.23,-59.33,88.35,3.87
23,Port Elizabeth,1,US,1563738882,50,39.31,-74.98,100.0,10.29
24,Osinniki,0,RU,1563738883,86,53.61,87.33,48.57,1.3
25,Paamiut,100,GL,1563738883,92,61.99,-49.67,42.45,13.67
26,New Norfolk,75,AU,1563738883,76,-42.78,147.06,52.0,9.17
27,Taoudenni,58,ML,1563738883,15,22.68,-3.98,104.37,15.52
28,Ushuaia,75,AR,1563738883,74,-54.81,-68.31,33.8,5.82
29,San Quintin,100,PH,1563738884,91,17.54,120.52,74.67,2.68
30,Kodiak,40,US,1563738884,74,39.95,-94.76,82.0,9.17
31,Castro,20,CL,1563738884,81,-42.48,-73.76,44.6,10.29
32,Genhe,100,CN,1563738884,99,50.78,121.52,56.85,3.91
33,Stonewall,75,CA,1563738885,43,50.13,-97.33,75.0,4.7
34,Barrow,100,AR,1563738885,36,-38.31,-60.23,53.43,6.64
35,Sao Joao da Barra,20,BR,1563738885,64,-21.64,-41.05,75.2,18.34
36,Havoysund,20,NO,1563738885,56,71.0,24.66,69.8,9.17
37,Fortuna,20,US,1563738886,72,40.6,-124.16,84.99,11.41
38,Lebu,20,ET,1563738886,77,8.96,38.73,59.0,9.17
39,Najran,0,SA,1563738886,13,17.54,44.22,89.6,6.93
40,Mar del Plata,0,AR,1563738886,47,-46.43,-67.52,37.77,3.8
41,Ponta do Sol,100,BR,1563738887,74,-20.63,-46.0,60.27,4.54
42,Harper,1,US,1563738887,36,30.3,-99.24,93.99,9.17
43,Turbat,12,PK,1563738887,72,26.0,63.05,80.07,3.76
44,Codrington,0,AU,1563738887,93,-28.95,153.24,55.99,3.6
45,Lazaro Cardenas,20,MX,1563738888,21,28.39,-105.62,100.0,12.75
46,Abha,0,SA,1563738888,12,18.22,42.5,86.0,5.82
47,Alofi,66,NU,1563738888,83,-19.06,-169.92,75.2,11.41
48,Coihaique,20,CL,1563738888,56,-45.58,-72.07,41.0,6.93
49,Stephenville,90,CA,1563738888,77,48.55,-58.59,69.8,5.82
50,Zhirnovsk,99,RU,1563738889,73,50.98,44.78,65.49,4.56
51,Bisira,100,PA,1563738889,83,8.52,-81.71,77.37,1.97
52,Upernavik,100,GL,1563738889,97,72.79,-56.15,43.35,5.7
53,Jumla,28,NP,1563738889,94,29.28,82.18,52.35,2.35
54,Vangaindrano,0,MG,1563738890,75,-23.35,47.6,54.87,5.19
55,Qaqortoq,100,GL,1563738890,62,60.72,-46.03,57.2,4.7
56,Vila Velha,20,BR,1563738890,62,-3.71,-38.6,86.0,14.99
57,Sao Filipe,73,CV,1563738890,77,14.9,-24.5,75.39,6.31
58,Avarua,99,CK,1563738891,83,-21.21,-159.78,77.0,9.17
59,Qaanaaq,100,GL,1563738891,76,77.48,-69.36,40.47,3.89
60,Hithadhoo,5,MV,1563738891,80,-0.6,73.08,82.05,13.11
61,Albany,40,US,1563738892,46,42.65,-73.75,93.99,17.22
62,Roald,40,NO,1563738892,82,62.58,6.12,57.99,14.99
63,Bridlington,20,GB,1563738719,68,54.08,-0.19,69.01,5.82
64,Mataura,84,NZ,1563738892,98,-46.19,168.86,43.0,3.67
65,Santander Jimenez,100,MX,1563738892,36,24.22,-98.47,95.91,18.25
66,Provideniya,90,RU,1563738893,93,64.42,-173.23,50.0,11.18
67,Clyde River,75,CA,1563738893,87,70.47,-68.59,46.4,12.75
68,Hermanus,0,ZA,1563738893,94,-34.42,19.24,55.0,1.83
69,Sinnamary,43,GF,1563738893,80,5.38,-52.96,80.97,14.83
70,Smolenskoye,0,RU,1563738894,83,52.31,85.08,53.43,1.88
71,Bluff,59,AU,1563738894,89,-23.58,149.07,57.93,5.86
72,Jiangyou,100,CN,1563738894,95,31.78,104.73,66.93,2.73
73,Monrovia,75,LR,1563738851,88,6.33,-10.8,78.8,3.36
74,Kavieng,100,PG,1563738895,76,-2.57,150.8,81.51,7.83
75,Mahina,31,ML,1563738895,53,13.76,-10.85,88.89,10.29
76,Aykhal,0,RU,1563738895,41,65.95,111.51,60.8,2.24
77,Dikson,52,RU,1563738896,96,73.51,80.55,37.59,14.05
78,Vaini,100,IN,1563738896,91,15.34,74.49,77.01,5.46
79,Agde,0,FR,1563738896,88,43.31,3.47,84.0,4.7
80,Meadow Lake,20,CA,1563738662,56,54.13,-108.44,73.4,5.82
81,Novyy Chirkey,33,RU,1563738897,78,43.16,47.05,75.2,4.47
82,Touros,75,BR,1563738897,74,-5.2,-35.46,80.6,13.87
83,Thompson,20,CA,1563738762,36,55.74,-97.86,75.2,12.75
84,Tiksi,82,RU,1563738897,79,71.64,128.87,37.77,2.19
85,Turochak,74,RU,1563738897,82,52.26,87.12,53.79,3.06
86,Port Alfred,0,ZA,1563738898,71,-33.59,26.89,52.0,7.0
87,Bredasdorp,0,ZA,1563738898,86,-34.53,20.04,43.0,1.12
88,Kalaleh,0,IR,1563738898,65,37.38,55.49,86.0,2.24
89,Northam,90,AU,1563738899,93,-31.65,116.67,55.4,4.7
90,Portland,40,US,1563738847,41,43.66,-70.25,93.2,19.46
91,Tuktoyaktuk,90,CA,1563738899,66,69.44,-133.03,50.0,5.82
92,Zemio,67,CF,1563738899,89,5.02,25.13,68.55,2.06
93,Arraial do Cabo,40,BR,1563738900,78,-22.97,-42.02,71.6,14.99
94,Yelan,86,RU,1563738900,69,50.95,43.74,66.99,4.9
95,Pindiga,100,NG,1563738900,89,9.98,10.93,74.31,9.26
96,Frontera,75,MX,1563738901,59,18.53,-92.64,89.6,16.11
97,Mgandu,0,TZ,1563738901,41,-5.96,34.11,62.07,9.46
98,Hilo,90,US,1563738901,69,19.71,-155.08,82.0,6.93
99,Lima,90,PE,1563738800,82,-12.06,-77.04,64.4,9.17
100,Balkanabat,0,TM,1563738902,57,39.51,54.36,87.09,10.29
101,Puerto Ayora,20,EC,1563738902,61,-0.74,-90.35,80.6,13.87
102,Nanchang,1,CN,1563738902,91,28.68,115.89,77.73,1.86
103,Wakefield,20,GB,1563738903,68,53.68,-1.5,69.01,6.93
104,Plouzane,75,FR,1563738903,82,48.38,-4.62,69.8,12.75
105,Russell,90,US,1563738903,61,38.9,-98.86,84.2,10.29
106,Annamalainagar,100,IN,1563738904,81,11.4,79.73,79.53,14.0
